
train_batch_node_id, train_batch_node_size
1,4947
2,4937
3,4922
4,4911
5,4901
6,4937
7,4945
8,4934

train_batch_edge_id, train_batch_edge_size
1,5446
2,5556
3,5414
4,5224
5,5102
6,5386
7,5682
8,5960

train_seed_node_id, train_seed_node_size
1,492
2,492
3,489
4,489
5,487
6,492
7,492
8,491

validation_batch_node_id, validation_batch_node_size
1,4947
2,4937
3,4922
4,4911
5,4901
6,4937
7,4945
8,4934

validation_batch_edge_id, validation_batch_edge_size
1,5446
2,5556
3,5414
4,5224
5,5102
6,5386
7,5682
8,5960

validation_seed_node_id, validation_seed_node_size
1,4207
2,4198
3,4186
4,4176
5,4168
6,4198
7,4205
8,4196
