
train_batch_node_id, train_batch_node_size
1,337
2,328
3,345
4,345
5,346
6,330
7,340
8,337
9,328
10,343
11,347
12,330
13,338
14,341
15,337
16,344

train_batch_edge_id, train_batch_edge_size
1,170
2,180
3,156
4,244
5,172
6,226
7,142
8,222
9,168
10,168
11,144
12,226
13,168
14,150
15,200
16,204

train_seed_node_id, train_seed_node_size
1,32
2,32
3,33
4,33
5,33
6,32
7,32
8,32
9,32
10,32
11,33
12,32
13,33
14,32
15,32
16,33

validation_batch_node_id, validation_batch_node_size
1,337
2,328
3,345
4,345
5,346
6,330
7,340
8,337
9,328
10,343
11,347
12,330
13,338
14,341
15,337
16,344

validation_batch_edge_id, validation_batch_edge_size
1,170
2,180
3,156
4,244
5,172
6,226
7,142
8,222
9,168
10,168
11,144
12,226
13,168
14,150
15,200
16,204

validation_seed_node_id, validation_seed_node_size
1,288
2,280
3,294
4,294
5,295
6,282
7,290
8,288
9,280
10,293
11,296
12,282
13,288
14,291
15,288
16,293
