0 633 0.25
0 1862 0.2236068
0 2582 0.25
1 2 0.20412414
1 652 0.28867513
1 654 0.35355338
2 1 0.20412414
2 332 0.16666666
2 1454 0.28867513
2 1666 0.15430336
2 1986 0.05025189
3 2544 0.49999997
4 1016 0.16666666
4 1256 0.13608277
4 1761 0.14433756
4 2175 0.16666666
4 2176 0.13608277
5 1629 0.25
5 1659 0.28867513
5 2546 0.2236068
6 373 0.2236068
6 1042 0.09128709
6 1416 0.10259783
6 1602 0.13483997
7 208 0.49999997
8 269 0.20412414
8 281 0.16666667
8 1996 0.20412414
9 723 0.3333333
9 2614 0.23570225
10 476 0.23570225
10 2545 0.40824828
11 1655 0.16012815
11 1839 0.2182179
12 1001 0.2581989
12 1318 0.2236068
12 2661 0.2581989
12 2662 0.2236068
13 1701 0.06666666
13 1810 0.0860663
14 158 0.18257418
14 2034 0.06375767
14 2075 0.13608277
14 2077 0.15430336
14 2668 0.16666666
15 1090 0.15811388
15 1093 0.16903086
15 1271 0.18257418
15 2367 0.11547005
16 970 0.18257418
16 1632 0.2236068
16 2444 0.16903086
16 2642 0.19999999
17 24 0.14433756
17 927 0.20412414
17 1315 0.23570225
17 1316 0.18257418
17 2140 0.16666666
18 139 0.13608277
18 1560 0.20412414
18 1786 0.20412414
18 2082 0.23570225
18 2145 0.18257418
19 1939 0.40824828
20 1072 0.073323555
20 2269 0.14433756
20 2270 0.15430336
20 2374 0.28867513
20 2375 0.18257418
21 1043 0.3333333
21 2310 0.3333333
22 39 0.14433756
22 1234 0.18257418
22 1702 0.12309149
22 1703 0.096225046
22 2238 0.11785112
23 2159 0.35355338
24 17 0.14433756
24 201 0.12499999
24 598 0.06063391
24 1636 0.14433756
24 1701 0.040824827
24 2139 0.15811388
24 2141 0.15811388
25 1301 0.16903086
25 1344 0.18257418
25 2011 0.2236068
25 2317 0.2236068
26 99 0.15430336
26 122 0.18257418
26 123 0.18257418
26 2454 0.20412414
26 2455 0.18257418
27 606 0.16903086
27 1810 0.06666667
27 2360 0.19999999
27 2578 0.2581989
28 1687 0.31622776
29 963 0.12909944
29 2645 0.2581989
30 697 0.2182179
30 738 0.15430336
30 1358 0.029074194
30 1416 0.086711004
30 2162 0.15430336
30 2343 0.2182179
31 1594 0.49999997
32 279 0.12403473
32 518 0.19999999
32 1850 0.19999999
32 1973 0.1118034
33 286 0.15811388
33 588 0.14142135
33 698 0.12909944
33 911 0.12909944
33 1051 0.11952287
33 2040 0.14142135
33 2119 0.18257418
33 2120 0.12909944
33 2121 0.15811388
34 1358 0.05439283
35 895 0.20412414
35 1296 0.16666667
35 1913 0.2236068
36 1146 0.1490712
36 1505 0.089087084
36 1552 0.13608277
36 1640 0.16666667
36 1781 0.13608277
36 2094 0.12598817
36 2106 0.19245009
36 2107 0.1490712
37 60 0.25
37 1190 0.25
37 2427 0.25
38 429 0.10846523
38 862 0.2581989
38 863 0.18257418
38 1160 0.16903086
39 22 0.14433756
39 1349 0.15811388
39 1522 0.17677669
39 1532 0.20412414
39 1634 0.13363063
39 1965 0.20412414
39 2357 0.14433756
40 507 0.114707865
40 866 0.28867513
40 1364 0.35355338
41 175 0.15811388
41 596 0.16903086
41 644 0.16903086
41 1914 0.07905694
42 87 0.28867513
42 1372 0.3333333
43 152 0.16903086
43 963 0.08451543
43 1530 0.15430336
43 1653 0.15430336
43 2399 0.15430336
43 2400 0.2182179
44 1582 0.35355338
44 2624 0.28867513
44 2701 0.28867513
45 733 0.06900656
45 1219 0.18898225
45 1986 0.04652421
45 2303 0.18898225
45 2667 0.14285716
45 2668 0.15430336
46 1604 0.2581989
46 2366 0.28867513
47 163 0.40824828
47 1579 0.23570225
48 598 0.054232616
48 714 0.15811388
48 1031 0.15811388
48 1662 0.14142135
48 1666 0.11952287
48 2041 0.14142135
48 2205 0.15811388
48 2206 0.15811388
48 2471 0.18257418
49 1666 0.2182179
49 2034 0.09016696
50 1441 0.14433756
51 457 0.16903086
51 710 0.16903086
51 1392 0.18898225
51 2213 0.18898225
51 2214 0.18898225
51 2215 0.16903086
52 1139 0.18257418
52 1467 0.23570225
52 2053 0.23570225
52 2172 0.16666666
52 2182 0.09128709
53 1103 0.11785114
53 1358 0.03846154
53 1739 0.15811388
54 401 0.2182179
54 767 0.2581989
55 60 0.13867505
55 210 0.0836242
55 323 0.1132277
55 651 0.09805807
55 771 0.12403473
55 787 0.13867505
55 815 0.10482849
55 1079 0.12403473
55 1156 0.12403473
55 1983 0.12403473
55 2020 0.16012815
55 2021 0.1132277
56 412 0.2236068
56 447 0.19999999
56 1616 0.14142135
56 1849 0.15811388
57 2418 0.26726127
58 1715 0.35355338
59 105 0.13483997
59 580 0.10050379
59 609 0.10050379
59 615 0.17407766
59 1067 0.10660036
59 1287 0.13483997
59 1358 0.02319318
59 1627 0.13483997
59 1725 0.07312725
59 2651 0.15075567
60 37 0.25
60 55 0.13867505
60 1527 0.16666667
61 1080 0.14433756
61 1309 0.09901475
61 1416 0.093658574
61 2162 0.16666666
61 2312 0.23570225
62 485 0.31622776
63 1322 0.40824828
64 1209 0.25
64 1737 0.18898225
64 2616 0.28867513
65 239 0.0805823
65 543 0.17407766
65 619 0.17407766
65 771 0.13483997
65 1156 0.13483997
65 1293 0.15075567
65 1628 0.07106691
65 2021 0.12309149
65 2418 0.11396059
65 2419 0.13483997
66 2631 0.49999997
67 282 0.28867513
67 540 0.20412414
67 2628 0.35355338
68 391 0.2236068
68 1358 0.03846154
68 1986 0.061545745
69 604 0.14433756
69 1013 0.059761427
69 1351 0.10660036
69 1914 0.062499996
69 1920 0.13363063
69 1926 0.12499999
69 2189 0.13363063
70 441 0.16666666
70 2184 0.3333333
71 206 0.28867513
71 1986 0.061545745
71 2691 0.28867513
72 1103 0.13608277
72 1358 0.04441156
73 449 0.12403473
73 558 0.1132277
73 797 0.1132277
73 876 0.10482849
73 1035 0.09805807
73 1136 0.12403473
73 1189 0.1132277
73 1214 0.10482849
73 1358 0.021334624
73 1723 0.1132277
73 1745 0.09805807
73 1751 0.12403473
74 544 0.10540926
74 586 0.12909944
74 1042 0.06454972
74 1118 0.14142135
74 1416 0.07254762
74 1517 0.18257418
74 2052 0.14142135
74 2155 0.0745356
74 2419 0.14142135
75 84 0.15430336
75 583 0.16903086
75 2222 0.16903086
75 2223 0.16903086
75 2224 0.12598817
75 2225 0.15430336
76 88 0.08219949
76 2018 0.17677669
76 2178 0.17677669
77 659 0.28867513
77 1803 0.2581989
78 1219 0.25
78 1329 0.25
78 1418 0.35355338
79 603 0.20412414
