
train_batch_node_id, train_batch_node_size
1,2480
2,2444
3,2481
4,2462
5,2447
6,2466
7,2464
8,2473
9,2450
10,2436
11,2489
12,2446
13,2457
14,2483
15,2459
16,2497

train_batch_edge_id, train_batch_edge_size
1,1418
2,1318
3,1446
4,1372
5,1232
6,1504
7,1438
8,1392
9,1494
10,1190
11,1336
12,1340
13,1262
14,1396
15,1502
16,1464

train_seed_node_id, train_seed_node_size
1,247
2,243
3,246
4,245
5,243
6,246
7,246
8,246
9,244
10,243
11,247
12,243
13,244
14,248
15,245
16,248

validation_batch_node_id, validation_batch_node_size
1,2480
2,2444
3,2481
4,2462
5,2447
6,2466
7,2464
8,2473
9,2450
10,2436
11,2489
12,2446
13,2457
14,2483
15,2459
16,2497

validation_batch_edge_id, validation_batch_edge_size
1,1418
2,1318
3,1446
4,1372
5,1232
6,1504
7,1438
8,1392
9,1494
10,1190
11,1336
12,1340
13,1262
14,1396
15,1502
16,1464

validation_seed_node_id, validation_seed_node_size
1,2109
2,2078
3,2110
4,2094
5,2081
6,2097
7,2095
8,2103
9,2084
10,2071
11,2117
12,2080
13,2090
14,2111
15,2091
16,2123
