
train_batch_node_id, train_batch_node_size
1,2446
2,2469
3,2457
4,2483
5,2459
6,2510
7,2438
8,2455
9,2470
10,2434
11,2494
12,2457
13,2465
14,2459
15,2485
16,2453

train_batch_edge_id, train_batch_edge_size
1,1416
2,1280
3,1244
4,1286
5,1464
6,1502
7,1410
8,1558
9,1214
10,1400
11,1396
12,1360
13,1380
14,1464
15,1396
16,1392

train_seed_node_id, train_seed_node_size
1,244
2,245
3,245
4,247
5,245
6,250
7,242
8,244
9,246
10,242
11,248
12,244
13,246
14,245
15,247
16,244

validation_batch_node_id, validation_batch_node_size
1,2446
2,2469
3,2457
4,2483
5,2459
6,2510
7,2438
8,2455
9,2470
10,2434
11,2494
12,2457
13,2465
14,2459
15,2485
16,2453

validation_batch_edge_id, validation_batch_edge_size
1,1416
2,1280
3,1244
4,1286
5,1464
6,1502
7,1410
8,1558
9,1214
10,1400
11,1396
12,1360
13,1380
14,1464
15,1396
16,1392

validation_seed_node_id, validation_seed_node_size
1,2080
2,2100
3,2089
4,2111
5,2091
6,2134
7,2074
8,2088
9,2100
10,2070
11,2121
12,2090
13,2096
14,2091
15,2113
16,2086
