
train_batch_node_id, train_batch_node_size
1,4970
2,4865
3,4927
4,4955
5,4905
6,4975
7,4930
8,4907

train_batch_edge_id, train_batch_edge_size
1,5692
2,5670
3,5198
4,5526
5,5820
6,5526
7,5182
8,5542

train_seed_node_id, train_seed_node_size
1,494
2,484
3,490
4,494
5,488
6,495
7,491
8,488

validation_batch_node_id, validation_batch_node_size
1,4970
2,4865
3,4927
4,4955
5,4905
6,4975
7,4930
8,4907

validation_batch_edge_id, validation_batch_edge_size
1,5692
2,5670
3,5198
4,5526
5,5820
6,5526
7,5182
8,5542

validation_seed_node_id, validation_seed_node_size
1,4226
2,4138
3,4190
4,4213
5,4171
6,4231
7,4192
8,4173
