
train_batch_node_id, train_batch_node_size
1,4920
2,4954
3,4971
4,4872
5,4908
6,4914
7,4908
8,4987

train_batch_edge_id, train_batch_edge_size
1,5324
2,5360
3,5928
4,5564
5,5442
6,5684
7,5360
8,5408

train_seed_node_id, train_seed_node_size
1,489
2,493
3,495
4,485
5,489
6,489
7,488
8,496

validation_batch_node_id, validation_batch_node_size
1,4920
2,4954
3,4971
4,4872
5,4908
6,4914
7,4908
8,4987

validation_batch_edge_id, validation_batch_edge_size
1,5324
2,5360
3,5928
4,5564
5,5442
6,5684
7,5360
8,5408

validation_seed_node_id, validation_seed_node_size
1,4184
2,4212
3,4227
4,4144
5,4173
6,4179
7,4174
8,4241
