
train_batch_node_id, train_batch_node_size
1,2474
2,2493
3,2469
4,2470
5,2537
6,2514
7,2434
8,2402
9,2441
10,2526
11,2475
12,2491
13,2419
14,2463
15,2491
16,2487

train_batch_edge_id, train_batch_edge_size
1,3292
2,3290
3,2340
4,2428
5,3228
6,3094
7,2776
8,2462
9,2862
10,2744
11,3084
12,3174
13,2424
14,2576
15,2994
16,3076

train_seed_node_id, train_seed_node_size
1,247
2,248
3,245
4,246
5,253
6,251
7,242
8,240
9,244
10,251
11,247
12,248
13,241
14,246
15,248
16,247

validation_batch_node_id, validation_batch_node_size
1,2474
2,2493
3,2469
4,2470
5,2537
6,2514
7,2434
8,2402
9,2441
10,2526
11,2475
12,2491
13,2419
14,2463
15,2491
16,2487

validation_batch_edge_id, validation_batch_edge_size
1,3292
2,3290
3,2340
4,2428
5,3228
6,3094
7,2776
8,2462
9,2862
10,2744
11,3084
12,3174
13,2424
14,2576
15,2994
16,3076

validation_seed_node_id, validation_seed_node_size
1,2103
2,2120
3,2100
4,2100
5,2157
6,2137
7,2070
8,2042
9,2075
10,2148
11,2104
12,2118
13,2057
14,2094
15,2118
16,2115
