
train_batch_node_id, train_batch_node_size
1,680
2,682
3,663
4,683
5,682
6,679
7,668
8,679

train_batch_edge_id, train_batch_edge_size
1,648
2,668
3,668
4,822
5,796
6,580
7,748
8,672

train_seed_node_id, train_seed_node_size
1,65
2,65
3,64
4,65
5,65
6,64
7,65
8,65

validation_batch_node_id, validation_batch_node_size
1,680
2,682
3,663
4,683
5,682
6,679
7,668
8,679

validation_batch_edge_id, validation_batch_edge_size
1,648
2,668
3,668
4,822
5,796
6,580
7,748
8,672

validation_seed_node_id, validation_seed_node_size
1,580
2,582
3,566
4,583
5,582
6,580
7,570
8,579
