
train_batch_node_id, train_batch_node_size
1,1658
2,1702

train_batch_edge_id, train_batch_edge_size
1,11930
2,12310

train_seed_node_id, train_seed_node_size
1,135
2,135

validation_batch_node_id, validation_batch_node_size
1,2624
2,2632

validation_batch_edge_id, validation_batch_edge_size
1,18262
2,18334

validation_seed_node_id, validation_seed_node_size
1,1151
2,1151

train_batch_node_id, train_batch_node_size
1,1691
2,1591

train_batch_edge_id, train_batch_edge_size
1,12073
2,11381

train_seed_node_id, train_seed_node_size
1,135
2,135

validation_batch_node_id, validation_batch_node_size
1,2609
2,2633

validation_batch_edge_id, validation_batch_edge_size
1,18235
2,18313

validation_seed_node_id, validation_seed_node_size
1,1151
2,1151

train_batch_node_id, train_batch_node_size
1,1628
2,1649

train_batch_edge_id, train_batch_edge_size
1,11672
2,11867

train_seed_node_id, train_seed_node_size
1,135
2,135

validation_batch_node_id, validation_batch_node_size
1,2641
2,2635

validation_batch_edge_id, validation_batch_edge_size
1,18367
2,18347

validation_seed_node_id, validation_seed_node_size
1,1151
2,1151

train_batch_node_id, train_batch_node_size
1,1575
2,1610

train_batch_edge_id, train_batch_edge_size
1,11123
2,11446

train_seed_node_id, train_seed_node_size
1,135
2,135

validation_batch_node_id, validation_batch_node_size
1,2606
2,2635

validation_batch_edge_id, validation_batch_edge_size
1,18206
2,18321

validation_seed_node_id, validation_seed_node_size
1,1151
2,1151
