
train_batch_node_id, train_batch_node_size
1,680
2,675
3,679
4,674
5,675
6,689
7,673
8,671

train_batch_edge_id, train_batch_edge_size
1,666
2,674
3,714
4,736
5,712
6,628
7,696
8,630

train_seed_node_id, train_seed_node_size
1,65
2,64
3,65
4,65
5,64
6,66
7,65
8,64

validation_batch_node_id, validation_batch_node_size
1,680
2,675
3,679
4,674
5,675
6,689
7,673
8,671

validation_batch_edge_id, validation_batch_edge_size
1,666
2,674
3,714
4,736
5,712
6,628
7,696
8,630

validation_seed_node_id, validation_seed_node_size
1,580
2,577
3,579
4,575
5,577
6,587
7,574
8,573
