
train_batch_node_id, train_batch_node_size
1,2461
2,2462
3,2448
4,2460
5,2492
6,2459
7,2456
8,2479
9,2443
10,2476
11,2446
12,2447
13,2449
14,2482
15,2492
16,2482

train_batch_edge_id, train_batch_edge_size
1,1356
2,1280
3,1492
4,1304
5,1354
6,1438
7,1388
8,1294
9,1488
10,1322
11,1356
12,1396
13,1274
14,1214
15,1366
16,1408

train_seed_node_id, train_seed_node_size
1,245
2,246
3,243
4,245
5,248
6,244
7,245
8,246
9,243
10,246
11,243
12,244
13,244
14,247
15,248
16,247

validation_batch_node_id, validation_batch_node_size
1,2461
2,2462
3,2448
4,2460
5,2492
6,2459
7,2456
8,2479
9,2443
10,2476
11,2446
12,2447
13,2449
14,2482
15,2492
16,2482

validation_batch_edge_id, validation_batch_edge_size
1,1356
2,1280
3,1492
4,1304
5,1354
6,1438
7,1388
8,1294
9,1488
10,1322
11,1356
12,1396
13,1274
14,1214
15,1366
16,1408

validation_seed_node_id, validation_seed_node_size
1,2093
2,2093
3,2082
4,2092
5,2119
6,2092
7,2088
8,2108
9,2078
10,2106
11,2080
12,2081
13,2082
14,2110
15,2119
16,2111
