
train_batch_node_id, train_batch_node_size
1,4933
2,5016
3,4874
4,4894
5,4930
6,4950
7,4911
8,4926

train_batch_edge_id, train_batch_edge_size
1,5732
2,5516
3,5586
4,5524
5,5406
6,5730
7,5700
8,5048

train_seed_node_id, train_seed_node_size
1,492
2,499
3,484
4,487
5,490
6,492
7,490
8,490

validation_batch_node_id, validation_batch_node_size
1,4933
2,5016
3,4874
4,4894
5,4930
6,4950
7,4911
8,4926

validation_batch_edge_id, validation_batch_edge_size
1,5732
2,5516
3,5586
4,5524
5,5406
6,5730
7,5700
8,5048

validation_seed_node_id, validation_seed_node_size
1,4195
2,4265
3,4146
4,4161
5,4193
6,4209
7,4176
8,4189
