
train_batch_node_id, train_batch_node_size
1,2424
2,2485
3,2485
4,2474
5,2450
6,2454
7,2485
8,2460
9,2447
10,2449
11,2494
12,2446
13,2489
14,2459
15,2467
16,2466

train_batch_edge_id, train_batch_edge_size
1,1486
2,1424
3,1396
4,1284
5,1494
6,1326
7,1414
8,1356
9,1396
10,1274
11,1508
12,1356
13,1336
14,1464
15,1386
16,1244

train_seed_node_id, train_seed_node_size
1,241
2,248
3,247
4,246
5,244
6,245
7,247
8,244
9,244
10,244
11,248
12,243
13,247
14,245
15,246
16,245

validation_batch_node_id, validation_batch_node_size
1,2424
2,2485
3,2485
4,2474
5,2450
6,2454
7,2485
8,2460
9,2447
10,2449
11,2494
12,2446
13,2489
14,2459
15,2467
16,2466

validation_batch_edge_id, validation_batch_edge_size
1,1486
2,1424
3,1396
4,1284
5,1494
6,1326
7,1414
8,1356
9,1396
10,1274
11,1508
12,1356
13,1336
14,1464
15,1386
16,1244

validation_seed_node_id, validation_seed_node_size
1,2062
2,2113
3,2113
4,2104
5,2084
6,2086
7,2113
8,2092
9,2081
10,2082
11,2121
12,2080
13,2117
14,2091
15,2098
16,2097
