
train_batch_node_id, train_batch_node_size
1,2466
2,2479
3,2436
4,2460
5,2473
6,2452
7,2453
8,2498
9,2464
10,2480
11,2452
12,2441
13,2485
14,2469
15,2478
16,2448

train_batch_edge_id, train_batch_edge_size
1,1504
2,1294
3,1190
4,1304
5,1392
6,1360
7,1574
8,1496
9,1438
10,1418
11,1360
12,1282
13,1396
14,1478
15,1384
16,1302

train_seed_node_id, train_seed_node_size
1,246
2,246
3,243
4,245
5,246
6,243
7,244
8,249
9,246
10,247
11,243
12,243
13,247
14,246
15,246
16,244

validation_batch_node_id, validation_batch_node_size
1,2466
2,2479
3,2436
4,2460
5,2473
6,2452
7,2453
8,2498
9,2464
10,2480
11,2452
12,2441
13,2485
14,2469
15,2478
16,2448

validation_batch_edge_id, validation_batch_edge_size
1,1504
2,1294
3,1190
4,1304
5,1392
6,1360
7,1574
8,1496
9,1438
10,1418
11,1360
12,1282
13,1396
14,1478
15,1384
16,1302

validation_seed_node_id, validation_seed_node_size
1,2097
2,2108
3,2071
4,2092
5,2103
6,2086
7,2086
8,2124
9,2095
10,2109
11,2086
12,2075
13,2113
14,2099
15,2108
16,2082
