
train_batch_node_id, train_batch_node_size
1,342
2,328
3,345
4,340
5,335
6,334
7,340
8,344
9,336
10,328
11,336
12,330
13,347
14,345
15,345
16,341

train_batch_edge_id, train_batch_edge_size
1,158
2,180
3,244
4,240
5,172
6,196
7,192
8,154
9,170
10,180
11,194
12,226
13,144
14,244
15,160
16,182

train_seed_node_id, train_seed_node_size
1,32
2,32
3,33
4,33
5,32
6,32
7,33
8,32
9,32
10,32
11,32
12,32
13,33
14,33
15,33
16,32

validation_batch_node_id, validation_batch_node_size
1,342
2,328
3,345
4,340
5,335
6,334
7,340
8,344
9,336
10,328
11,336
12,330
13,347
14,345
15,345
16,341

validation_batch_edge_id, validation_batch_edge_size
1,158
2,180
3,244
4,240
5,172
6,196
7,192
8,154
9,170
10,180
11,194
12,226
13,144
14,244
15,160
16,182

validation_seed_node_id, validation_seed_node_size
1,292
2,280
3,294
4,290
5,286
6,285
7,290
8,294
9,287
10,280
11,287
12,282
13,296
14,294
15,294
16,291
