
train_batch_node_id, train_batch_node_size
1,687
2,679
3,669
4,673
5,684
6,678
7,675
8,671

train_batch_edge_id, train_batch_edge_size
1,792
2,644
3,664
4,626
5,742
6,612
7,788
8,596

train_seed_node_id, train_seed_node_size
1,66
2,65
3,64
4,64
5,66
6,64
7,65
8,64

validation_batch_node_id, validation_batch_node_size
1,687
2,679
3,669
4,673
5,684
6,678
7,675
8,671

validation_batch_edge_id, validation_batch_edge_size
1,792
2,644
3,664
4,626
5,742
6,612
7,788
8,596

validation_seed_node_id, validation_seed_node_size
1,586
2,579
3,571
4,575
5,583
6,579
7,576
8,573
