
train_batch_node_id, train_batch_node_size
1,668
2,678
3,683
4,679
5,685
6,674
7,675
8,674

train_batch_edge_id, train_batch_edge_size
1,732
2,574
3,822
4,712
5,688
6,680
7,736
8,758

train_seed_node_id, train_seed_node_size
1,65
2,64
3,65
4,65
5,64
6,65
7,65
8,65

validation_batch_node_id, validation_batch_node_size
1,668
2,678
3,683
4,679
5,685
6,674
7,675
8,674

validation_batch_edge_id, validation_batch_edge_size
1,732
2,574
3,822
4,712
5,688
6,680
7,736
8,758

validation_seed_node_id, validation_seed_node_size
1,570
2,579
3,583
4,579
5,585
6,575
7,576
8,575
