
train_batch_node_id, train_batch_node_size
1,2478
2,2434
3,2431
4,2473
5,2461
6,2492
7,2478
8,2470
9,2511
10,2474
11,2451
12,2496
13,2434
14,2452
15,2443
16,2456

train_batch_edge_id, train_batch_edge_size
1,1214
2,1400
3,1220
4,1400
5,1506
6,1354
7,1384
8,1320
9,1370
10,1284
11,1388
12,1382
13,1400
14,1360
15,1442
16,1388

train_seed_node_id, train_seed_node_size
1,247
2,242
3,242
4,246
5,245
6,248
7,246
8,246
9,250
10,246
11,244
12,249
13,242
14,243
15,243
16,245

validation_batch_node_id, validation_batch_node_size
1,2478
2,2434
3,2431
4,2473
5,2461
6,2492
7,2478
8,2470
9,2511
10,2474
11,2451
12,2496
13,2434
14,2452
15,2443
16,2456

validation_batch_edge_id, validation_batch_edge_size
1,1214
2,1400
3,1220
4,1400
5,1506
6,1354
7,1384
8,1320
9,1370
10,1284
11,1388
12,1382
13,1400
14,1360
15,1442
16,1388

validation_seed_node_id, validation_seed_node_size
1,2107
2,2070
3,2067
4,2103
5,2093
6,2119
7,2108
8,2100
9,2135
10,2104
11,2084
12,2122
13,2070
14,2086
15,2078
16,2088
