
train_batch_node_id, train_batch_node_size
1,4969
2,4917
3,4919
4,4912
5,4898
6,4936
7,4916
8,4967

train_batch_edge_id, train_batch_edge_size
1,5978
2,5274
3,5362
4,5540
5,5608
6,5332
7,5746
8,5426

train_seed_node_id, train_seed_node_size
1,495
2,488
3,490
4,489
5,487
6,491
7,489
8,495

validation_batch_node_id, validation_batch_node_size
1,4969
2,4917
3,4919
4,4912
5,4898
6,4936
7,4916
8,4967

validation_batch_edge_id, validation_batch_edge_size
1,5978
2,5274
3,5362
4,5540
5,5608
6,5332
7,5746
8,5426

validation_seed_node_id, validation_seed_node_size
1,4225
2,4182
3,4183
4,4177
5,4166
6,4197
7,4181
8,4223
