
train_batch_node_id, train_batch_node_size
1,678
2,674
3,671
4,685
5,672
6,684
7,680
8,672

train_batch_edge_id, train_batch_edge_size
1,620
2,650
3,636
4,808
5,710
6,726
7,730
8,666

train_seed_node_id, train_seed_node_size
1,64
2,65
3,64
4,66
5,64
6,65
7,65
8,65

validation_batch_node_id, validation_batch_node_size
1,678
2,674
3,671
4,685
5,672
6,684
7,680
8,672

validation_batch_edge_id, validation_batch_edge_size
1,620
2,650
3,636
4,808
5,710
6,726
7,730
8,666

validation_seed_node_id, validation_seed_node_size
1,579
2,575
3,573
4,584
5,574
6,584
7,580
8,573
