
train_batch_node_id, train_batch_node_size
1,5035
2,4916
3,4927
4,4915
5,4886
6,4915
7,5081
8,4911

train_batch_edge_id, train_batch_edge_size
1,10222
2,8868
3,9742
4,9560
5,8146
6,8764
7,11014
8,9822

train_seed_node_id, train_seed_node_size
1,501
2,490
3,490
4,491
5,486
6,491
7,506
8,489

validation_batch_node_id, validation_batch_node_size
1,5035
2,4916
3,4927
4,4915
5,4886
6,4915
7,5081
8,4911

validation_batch_edge_id, validation_batch_edge_size
1,10222
2,8868
3,9742
4,9560
5,8146
6,8764
7,11014
8,9822

validation_seed_node_id, validation_seed_node_size
1,4281
2,4180
3,4190
4,4178
5,4155
6,4178
7,4320
8,4176
